Gender,Name,Time,Date
H,Hamse Looyar,00:19:31,2020-10-31
H,Per Bjørnar Wiig,00:19:56,2020-10-31
H,Martin Gulbrandsen,00:20:19,2020-10-31
H,Bjørge Nesengen,00:20:28,2020-10-31
H,Håkon Erikstad,00:20:57,2020-10-31
H,Lars Noreng,00:21:41,2020-10-31
H,Glenn Olufsen,00:22:29,2020-10-31
H,Tommy Heggenes,00:22:35,2020-10-31
H,Roger Nilsen,00:22:55,2020-10-31
H,Jon Vegard Syversen,00:23:00,2020-10-31
H,Raymond Westberg,00:23:42,2020-10-31
H,Alf-Martin Nygård,00:24:04,2020-10-31
H,Henrik Lund Raagaard,00:24:07,2020-10-31
H,Terje Wold,00:24:12,2020-10-31
H,Marius Birkeland,00:24:17,2020-10-31
H,Raymond Handelsby,00:24:43,2020-10-31
H,Tom Kristoffersen,00:24:44,2020-10-31
H,Roar Henriksen,00:25:00,2020-10-31
H,Ole Johnny Aasen,00:25:13,2020-10-31
H,Stein Jensen,00:25:22,2020-10-31
H,Ataklti Hagos,00:26:05,2020-10-31
H,Olav Røyneberg,00:26:10,2020-10-31
H,Jarl Erik Syversen,00:26:14,2020-10-31
H,Tom Sognlien,00:26:20,2020-10-31
H,Helge Rosnes,00:26:51,2020-10-31
H,Ståle Myrvold,00:27:06,2020-10-31
H,Ingebret Mojord,00:29:05,2020-10-31
H,Øystein Skaar,00:29:19,2020-10-31
H,Tom Wahlgren,00:29:59,2020-10-31
H,Pål G. Nilsen,00:30:07,2020-10-31
H,Ketil Gjølstad,00:30:10,2020-10-31
H,Gunnar Hansen,00:30:11,2020-10-31
H,Ben Samuel Groth Skaar,00:31:14,2020-10-31
H,Håvard Skaar,00:33:10,2020-10-31
D,Sissel Aamodt,00:34:13,2020-10-31
H,Svein Bergerud,00:34:20,2020-10-31
D,Tove S. Wahlgren,00:34:34,2020-10-31
D,Wivian Johansen,00:35:08,2020-10-31
H,Christian Fredriksen,Deltatt,2020-10-31
H,Benjamin Olsen,00:17:24,2020-10-24
H,Fredrik Lium,00:19:49,2020-10-24
H,Lars Noreng,00:21:29,2020-10-24
H,Håkon Erikstad,00:22:13,2020-10-24
H,Adrian Monkvik,00:22:24,2020-10-24
H,Lars Henning Stang,00:22:27,2020-10-24
H,Glenn Olufsen,00:22:32,2020-10-24
H,Roger Nilsen,00:22:33,2020-10-24
H,Jon Vegard Syversen,00:22:48,2020-10-24
H,Frode Andersen,00:23:05,2020-10-24
H,Alf-Martin Nygård,00:23:43,2020-10-24
H,Raymond Westberg,00:24:09,2020-10-24
H,Marius Birkeland,00:24:25,2020-10-24
H,Raymond Handelsby,00:24:33,2020-10-24
H,Steffen Gangestad,00:24:42,2020-10-24
H,Leander Olsen,00:24:54,2020-10-24
H,Ole Johnny Aasen,00:25:17,2020-10-24
H,Henning Herfjord,00:25:33,2020-10-24
H,Roar Henriksen,00:25:50,2020-10-24
H,Tom Sognlien,00:26:00,2020-10-24
H,Daniel Skagen,00:26:20,2020-10-24
H,Jarl Erik Syversen,00:26:22,2020-10-24
H,Ståle Myrvold,00:26:25,2020-10-24
H,Ben Samuel Groth Skaar,00:28:21,2020-10-24
H,Øystein Skaar,00:29:21,2020-10-24
H,Svein Bergerud,00:29:36,2020-10-24
H,Gunnar Hansen,00:30:28,2020-10-24
H,Ketil Gjølstad,00:30:37,2020-10-24
H,Jesper Søstrand,00:31:11,2020-10-24
D,Kristin Johansen,00:31:38,2020-10-24
